"TypeCode,""FreqCode"",""RefPeriodId"",""RefYear"",""RefMonth"",""Period"",""ReporterCode"",""ReporterISO"",""ReporterDesc"",""FlowCode"",""FlowDesc"",""PartnerCode"",""PartnerISO"",""PartnerDesc"",""Partner2Code"",""Partner2ISO"",""Partner2Desc"",""ClassificationCode"",""ClassificationSearchCode"",""IsOriginalClassification"",""CmdCode"",""CmdDesc"",""AggrLevel"",""IsLeaf"",""CustomsCode"",""CustomsDesc"",""MosCode"",""MotCode"",""MotDesc"",""QtyUnitCode"",""QtyUnitAbbr"",""Qty"",""IsQtyEstimated"",""AltQtyUnitCode"",""AltQtyUnitAbbr"",""AltQty"",""IsAltQtyEstimated"",""NetWgt"",""IsNetWgtEstimated"",""GrossWgt"",""IsGrossWgtEstimated"",""Cifvalue"",""Fobvalue"",""PrimaryValue"",""LegacyEstimationFlag"",""IsReported"",""IsAggregate"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""31"",""AZE"",""Azerbaijan"",""X"",""Export"",""380"",""ITA"",""Italy"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""11470600000"",""false"",""8"",""kg"",""11470600000"",""false"",""11470600000"",""false"",""0"",""false"",""0"",""5536752343.96"",""5536752343.96"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""31"",""AZE"",""Azerbaijan"",""X"",""Export"",""392"",""JPN"",""Japan"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""167587000"",""false"",""8"",""kg"",""167587000"",""false"",""167587000"",""false"",""0"",""false"",""0"",""83392116.96"",""83392116.96"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""31"",""AZE"",""Azerbaijan"",""X"",""Export"",""490"",""S19"",""Other Asia, nes"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""565189000"",""false"",""8"",""kg"",""565189000"",""false"",""565189000"",""false"",""0"",""false"",""0"",""262099968.39"",""262099968.39"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""31"",""AZE"",""Azerbaijan"",""X"",""Export"",""528"",""NLD"",""Netherlands"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""90376700"",""false"",""8"",""kg"",""90376700"",""false"",""90376700"",""false"",""0"",""false"",""0"",""45156559.34"",""45156559.34"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""31"",""AZE"",""Azerbaijan"",""X"",""Export"",""620"",""PRT"",""Portugal"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""746181000"",""false"",""8"",""kg"",""746181000"",""false"",""746181000"",""false"",""0"",""false"",""0"",""353196505.62"",""353196505.62"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""31"",""AZE"",""Azerbaijan"",""X"",""Export"",""642"",""ROU"",""Romania"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""266559000"",""false"",""8"",""kg"",""266559000"",""false"",""266559000"",""false"",""0"",""false"",""0"",""128810161.23"",""128810161.23"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""31"",""AZE"",""Azerbaijan"",""X"",""Export"",""643"",""RUS"",""Russian Federation"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""608466"",""false"",""8"",""kg"",""608466"",""false"",""608466"",""false"",""0"",""false"",""0"",""252475.69"",""252475.69"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""31"",""AZE"",""Azerbaijan"",""X"",""Export"",""699"",""IND"",""India"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""1934860000"",""false"",""8"",""kg"",""1934860000"",""false"",""1934860000"",""false"",""0"",""false"",""0"",""952928985.07"",""952928985.07"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""31"",""AZE"",""Azerbaijan"",""X"",""Export"",""704"",""VNM"",""Viet Nam"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""139301000"",""false"",""8"",""kg"",""139301000"",""false"",""139301000"",""false"",""0"",""false"",""0"",""57135172.08"",""57135172.08"",""0"",""false"",""true"","
"C,""A"",""20190101"",""2019"",""52"",""2019"",""31"",""AZE"",""Azerbaijan"",""X"",""Export"",""724"",""ESP"",""Spain"",""0"",""W00"",""World"",""H5"",""HS"",""true"",""270900"",""Oils petroleum oils and oils obtained from bituminous minerals, crude"",""6"",""true"",""C00"",""TOTAL CPC"",""0"",""0"",""TOTAL MOT"",""8"",""kg"",""1489890000"",""false"",""8"",""kg"",""1489890000"",""false"",""1489890000"",""false"",""0"",""false"",""0"",""701714480.33"",""701714480.33"",""0"",""false"",""true"","
